first_name,last_name,email,remaining_goal_amount
Cecilia,Velasco,cecilia.velasco@rodrigues.fr,100
Mariana,Ellis,mariana.ellis@rossi.org,-13160
Sofie,Woods,sofie.woods@riviere.com,-34123
Jeanette,Iannotti,jeanette.iannotti@yahoo.com,1723
Samuel,Sorgatz,samuel.sorgatz@gmail.com,2335
Socorro,Luna,socorro.luna@hotmail.com,-5595
Carolina,Murray,carolina.murray@knight.com,4110
Kayla,Moon,kayla.moon@yahoo.de,-10241
Ariadna,Geisel,ariadna.geisel@rangel.com,88154
Danielle,Ladeck,danielle.ladeck@scalfaro.net,2992
Tatiana,Thompson,tatiana.thompson@hunt.net,-8638
Caleb,Benavides,caleb.benavides@rubio.com,3270
Sandra,Hardy,sandra.hardy@web.de,671
Lotti,Morris,lotti.morris@yahoo.co.uk,-6095
Reinhilde,White,reinhilde.white@voila.fr,9371
Kerry,Patel,kerry.patel@hutchinson.com,42786
Sophie,Antoine,sophie.antoine@andersen.com,-9341
Martha,Girard,martha.girard@web.de,-50245
Stephanie,King,stephanie.king@cervantes.com,3011
Amanda,Palmer,amanda.palmer@didier.fr,32169
Lina,Alcala,lina.alcala@vespa.net,-16136
Itzel,Murphy,itzel.murphy@muelichen.de,55467
Filippo,Parry,filippo.parry@live.com,-16590
Katelyn,Cole,katelyn.cole@fiebig.com,-10442
Brian,Novak,brian.novak@ford.net,-11857
Cilly,Gay,cilly.gay@callegaro.it,-6404
Yolanda,Snyder,yolanda.snyder@gmx.de,55686
Evelin,Odonnell,evelin.odonnell@ibarra.net,401
Ingeborg,Alba,ingeborg.alba@hotmail.com,-6835
Marina,Madrid,marina.madrid@galarza-alba.com,-105065
Sheila,Goodwin,sheila.goodwin@yahoo.com,-5455
Valeria,Rich,valeria.rich@turchetta-mondadori.it,-7350
Dustin,Camacho,dustin.camacho@rhodes.org.au,13324
Amalia,Marenzio,amalia.marenzio@grupo.com,-139466
Gian,Long,gian.long@hotmail.com,-4725
Stewart,Hunt,stewart.hunt@anderson-vargas.biz,-63128
Greca,Ruiz,greca.ruiz@carr.co.uk,-401
Gerald,Olivera,gerald.olivera@outlook.com,-3239
Jaqueline,Wallace,jaqueline.wallace@gmail.com,-6985
John,Lane,john.lane@gregoire.fr,4873
Pero,Joly,pero.joly@bernard.net,-6078
Chad,Turner,chad.turner@gmail.com,-6324
Adam,Zavala,adam.zavala@guichard.fr,-6191
Tyler,Rivera,tyler.rivera@guajardo-ozuna.com,-77517
Jens,Graham,jens.graham@jones-buckley.com,-8941
Virginia,Caetani,virginia.caetani@sosa.biz,4970
Martino,Wagner,martino.wagner@laposte.net,-547
Martin,Meyer,martin.meyer@davis.co.uk,-5629
Marguerite,Walls,marguerite.walls@martinez.fr,-95562
Peter,Vogt,peter.vogt@yahoo.com,-6453
Nicholas,Christian,nicholas.christian@hotmail.de,98
Susi,Steinberg,susi.steinberg@preiss.com,12857
Tammy,Ramazzotti,tammy.ramazzotti@gmail.com,4741
Abdul,Thomas,abdul.thomas@vasari.com,-3556
Justin,Luxardo,justin.luxardo@googlemail.com,608
Antonio,Gibson,antonio.gibson@faust.net,-5146
Jeremy,Gomez,jeremy.gomez@oconnor.org,-3493
Raymond,Solorzano,raymond.solorzano@gmail.com,-3343
