"first_name","last_name","email","remaining_goal_amount"
"Cecilia","Velasco","cecilia.velasco@rodrigues.fr",100.0
"Mariana","Ellis","mariana.ellis@rossi.org",-13160.0
"Sofie","Woods","sofie.woods@riviere.com",-34123.0
"Jeanette","Iannotti","jeanette.iannotti@yahoo.com",1723.0
"Samuel","Sorgatz","samuel.sorgatz@gmail.com",2335.0
"Socorro","Luna","socorro.luna@hotmail.com",-5595.0
"Carolina","Murray","carolina.murray@knight.com",4110.0
"Kayla","Moon","kayla.moon@yahoo.de",-10241.0
"Ariadna","Geisel","ariadna.geisel@rangel.com",88154.0
"Danielle","Ladeck","danielle.ladeck@scalfaro.net",2992.0
"Tatiana","Thompson","tatiana.thompson@hunt.net",-8638.0
"Caleb","Benavides","caleb.benavides@rubio.com",3270.0
"Sandra","Hardy","sandra.hardy@web.de",671.0
"Lotti","Morris","lotti.morris@yahoo.co.uk",-6095.0
"Reinhilde","White","reinhilde.white@voila.fr",9371.0
"Kerry","Patel","kerry.patel@hutchinson.com",42786.0
"Sophie","Antoine","sophie.antoine@andersen.com",-9341.0
"Martha","Girard","martha.girard@web.de",-50245.0
"Stephanie","King","stephanie.king@cervantes.com",3011.0
"Amanda","Palmer","amanda.palmer@didier.fr",32169.0
"Lina","Alcala","lina.alcala@vespa.net",-16136.0
"Itzel","Murphy","itzel.murphy@muelichen.de",55467.0
"Filippo","Parry","filippo.parry@live.com",-16590.0
"Katelyn","Cole","katelyn.cole@fiebig.com",-10442.0
"Brian","Novak","brian.novak@ford.net",-11857.0
"Cilly","Gay","cilly.gay@callegaro.it",-6404.0
"Yolanda","Snyder","yolanda.snyder@gmx.de",55686.0
"Evelin","Odonnell","evelin.odonnell@ibarra.net",401.0
"Ingeborg","Alba","ingeborg.alba@hotmail.com",-6835.0
"Marina","Madrid","marina.madrid@galarza-alba.com",-105065.0
"Sheila","Goodwin","sheila.goodwin@yahoo.com",-5455.0
"Valeria","Rich","valeria.rich@turchetta-mondadori.it",-7350.0
"Dustin","Camacho","dustin.camacho@rhodes.org.au",13324.0
"Amalia","Marenzio","amalia.marenzio@grupo.com",-139466.0
"Gian","Long","gian.long@hotmail.com",-4725.0
"Stewart","Hunt","stewart.hunt@anderson-vargas.biz",-63128.0
"Greca","Ruiz","greca.ruiz@carr.co.uk",-401.0
"Gerald","Olivera","gerald.olivera@outlook.com",-3239.0
"Jaqueline","Wallace","jaqueline.wallace@gmail.com",-6985.0
"John","Lane","john.lane@gregoire.fr",4873.0
"Pero","Joly","pero.joly@bernard.net",-6078.0
"Chad","Turner","chad.turner@gmail.com",-6324.0
"Adam","Zavala","adam.zavala@guichard.fr",-6191.0
"Tyler","Rivera","tyler.rivera@guajardo-ozuna.com",-77517.0
"Jens","Graham","jens.graham@jones-buckley.com",-8941.0
"Virginia","Caetani","virginia.caetani@sosa.biz",4970.0
"Martino","Wagner","martino.wagner@laposte.net",-547.0
"Martin","Meyer","martin.meyer@davis.co.uk",-5629.0
"Marguerite","Walls","marguerite.walls@martinez.fr",-95562.0
"Peter","Vogt","peter.vogt@yahoo.com",-6453.0
"Nicholas","Christian","nicholas.christian@hotmail.de",98.0
"Susi","Steinberg","susi.steinberg@preiss.com",12857.0
"Tammy","Ramazzotti","tammy.ramazzotti@gmail.com",4741.0
"Abdul","Thomas","abdul.thomas@vasari.com",-3556.0
"Justin","Luxardo","justin.luxardo@googlemail.com",608.0
"Antonio","Gibson","antonio.gibson@faust.net",-5146.0
"Jeremy","Gomez","jeremy.gomez@oconnor.org",-3493.0
"Raymond","Solorzano","raymond.solorzano@gmail.com",-3343.0
"Flora","Harris","flora.harris@hotmail.com.au",-3432.0
"Cheryl","Boyd","cheryl.boyd@segni.it",-2451.0
"Rhys","Leiva","rhys.leiva@gmx.de",-41797.0
"Mariano","Prieto","mariano.prieto@vodafone.it",14450.0
"Laurie","Fibonacci","laurie.fibonacci@gmail.com",-12452.0
"David","Rudolph","david.rudolph@nelson.com",4143.0
"Bryan","Ross","bryan.ross@yahoo.com",66.0
"Ubaldo","Brown","ubaldo.brown@philippe.com",-8305.0
"Clelia","Faulkner","clelia.faulkner@hotmail.com",1593.0
"Sara","Erickson","sara.erickson@yahoo.de",-45292.0
"Rupert","Valle","rupert.valle@filogamo.it",-8808.0
"Puccio","Kitzmann","puccio.kitzmann@yahoo.com",5999.0
"Thomas","Hutchinson","thomas.hutchinson@gmx.de",-30389.0
"Abelardo","Castro","abelardo.castro@gmail.com",-484.0
"Greco","Walker","greco.walker@yahoo.com",-3422.0
"Miranda","Lacombe","miranda.lacombe@longoria-vanegas.net",-7853.0
"Diana","Schuchhardt","diana.schuchhardt@libero.it",-876.0
"Stacey","Knox","stacey.knox@corporacin.com",-4906.0
"Glen","Faivre","glen.faivre@yahoo.com",26907.0
"Andrew","Torres","andrew.torres@ruiz-torres.org",5040.0
"Denny","Fritz","denny.fritz@despacho.biz",-9036.0
"Martyn","Caldera","martyn.caldera@hotmail.co.uk",17572.0
